misra1,misra2,poet
پکارتے رہے محفوظ کشتیوں والے ,میں ڈوبتا ہوا دریا کے پار اتر بھی گیا ,Ahmad Faraz
اب احتیاط کی دیوار کیا اٹھاتے ہو ,جو چور دل میں چھپا تھا وہ کام کر بھی گیا ,Ahmad Faraz
میں چپ رہا کہ اسی میں تھی عافیت جاں کی ,کوئی تو میری طرح تھا جو دار پر بھی گیا ,Ahmad Faraz
سلگتے سوچتے ویران موسموں کی طرح ,کڑا تھا عہد جوانی مگر گزر بھی گیا ,Ahmad Faraz
جسے بھلا نہ سکا اس کو یاد کیا رکھتا ,جو نام لب پہ رہا ذہن سے اتر بھی گیا ,Ahmad Faraz
پھٹی پھٹی ہوئی آنکھوں سے یوں نہ دیکھ مجھے ,تجھے تلاش ہے جس شخص کی وہ مر بھی گیا ,Ahmad Faraz
مگر فلک کو عداوت اسی کے گھر سے تھی ,جہاں فرازؔ نہ تھا سیل غم ادھر بھی گیا ,Ahmad Faraz
گر غم سود و زیاں ہے تو ٹھہر جا اے جاں ,کہ اسی موڑ پہ یاروں سے ہوئے یار جدا ,Ahmad Faraz
دو گھڑی اس سے رہو دور تو یوں لگتا ہے ,جس طرح سایۂ دیوار سے دیوار جدا ,Ahmad Faraz
یہ جدائی کی گھڑی ہے کہ جھڑی ساون کی ,میں جدا گریہ کناں ابر جدا یار جدا ,Ahmad Faraz
کج کلاہوں سے کہے کون کہ اے بے خبروں ,طوق گردن سے نہیں طرۂ دستار جدا ,Ahmad Faraz
کوئے جاناں میں بھی خاصا تھا طرح دار فرازؔ ,لیکن اس شخص کی سج دھج تھی سر دار جدا ,Ahmad Faraz
زندگی میں بھی غزل ہی کا قرینہ رکھا ,خواب در خواب ترے غم کو پرویا کیسا ,Ahmad Faraz
اب تو چہروں پہ بھی کتبوں کا گماں ہوتا ہے ,آنکھیں پتھرائی ہوئی ہیں لب گویا کیسا ,Ahmad Faraz
دیکھ اب قرب کا موسم بھی نہ سرسبز لگے ,ہجر ہی ہجر مراسم میں سمویا کیسا ,Ahmad Faraz
ایک آنسو تھا کہ دریائے ندامت تھا فرازؔ ,دل سے بے باک شناور کو ڈبویا کیسا ,Ahmad Faraz
ابتدا کی تیرے قصیدے سے ,اب یہ مشکل کروں کہاں سے گریز ,Ahmad Faraz
میں وہاں ہوں جہاں جہاں تم ہو ,تم کرو گے کہاں کہاں سے گریز ,Ahmad Faraz
کر گیا میرے تیرے قصے میں ,داستاں گو یہاں وہاں سے گریز ,Ahmad Faraz
جنگ ہاری نہ تھی ابھی کہ فرازؔ ,کر گئے دوست درمیاں سے گریز ,Ahmad Faraz
نصیب پھر کوئی تقریب قرب ہو کہ نہ ہو ,جو دل میں ہوں وہی باتیں کہا کرو اس سے ,Ahmad Faraz
یہ اہل بزم تنک حوصلہ سہی پھر بھی ,ذرا فسانۂ دل ابتدا کرو اس سے ,Ahmad Faraz
یہ کیا کہ تم ہی غم ہجر کے فسانے کہو ,کبھی تو اس کے بہانے سنا کرو اس سے ,Ahmad Faraz
فرازؔ ترک تعلق تو خیر کیا ہوگا ,یہی بہت ہے کہ کم کم ملا کرو اس سے ,Ahmad Faraz
خزاں میں چاک گریباں تھا میں بہار میں تو ,مگر یہ فصل ستم آشنا کسی کی نہیں ,Ahmad Faraz
سب اپنے اپنے فسانے سناتے جاتے ہیں ,نگاہ یار مگر ہم نوا کسی کی نہیں ,Ahmad Faraz
میں آج زد پہ اگر ہوں تو خوش گمان نہ ہو ,چراغ سب کے بجھیں گے ہوا کسی کی نہیں ,Ahmad Faraz
فرازؔ اپنی جگر کاویوں پہ ناز نہ کر ,کہ یہ متاع ہنر بھی سدا کسی کی نہیں ,Ahmad Faraz
اترا ہے رگ و پے میں تو دل کٹ سا گیا ہے ,یہ زہر جدائی کہ گوارا بھی کبھی تھا ,Ahmad Faraz
ہر دوست جہاں ابر گریزاں کی طرح ہے ,یہ شہر کبھی شہر ہمارا بھی کبھی تھا ,Ahmad Faraz
تتلی کے تعاقب میں کوئی پھول سا بچہ ,ایسا ہی کوئی خواب ہمارا بھی کبھی تھا ,Ahmad Faraz
اب اگلے زمانے کے ملیں لوگ تو پوچھیں ,جو حال ہمارا ہے تمہارا بھی کبھی تھا ,Ahmad Faraz
ہر بزم میں ہم نے اسے افسردہ ہی دیکھا ,کہتے ہیں فرازؔ انجمن آرا بھی کبھی تھا ,Ahmad Faraz
میری طرح تو نے شب ہجراں نہیں کاٹی ,میری طرح اس تیغ پہ کٹ کر نہیں دیکھا ,Ahmad Faraz
تو دشنۂ نفرت ہی کو لہراتا رہا ہے ,تو نے کبھی دشمن سے لپٹ کر نہیں دیکھا ,Ahmad Faraz
تھے کوچۂ جاناں سے پرے بھی کئی منظر ,دل نے کبھی اس راہ سے ہٹ کر نہیں دیکھا ,Ahmad Faraz
اب یاد نہیں مجھ کو فرازؔ اپنا بھی پیکر ,جس روز سے بکھرا ہوں سمٹ کر نہیں دیکھا ,Ahmad Faraz
شاید آ جائیں کبھی چشم خریدار میں ہم ,جان و دل بیچ میں بازار کے رکھ دیتے ہیں ,Ahmad Faraz
تاکہ طعنہ نہ ملے ہم کو تنک ظرفی کا ,ہم قدح سامنے اغیار کے رکھ دیتے ہیں ,Ahmad Faraz
اب کسے رنج اسیری کہ قفس میں صیاد ,سارے منظر گل و گلزار کے رکھ دیتے ہیں ,Ahmad Faraz
ذکر جاناں میں یہ دنیا کو کہاں لے آئے ,لوگ کیوں مسئلے بے کار کے رکھ دیتے ہیں ,Ahmad Faraz
وقت وہ رنگ دکھاتا ہے کہ اہل دل بھی ,طاق نسیاں پہ سخن یار کے رکھ دیتے ہیں ,Ahmad Faraz
زندگی تیری امانت ہے مگر کیا کیجے ,لوگ یہ بوجھ بھی تھک ہار کے رکھ دیتے ہیں ,Ahmad Faraz
ہم تو چاہت میں بھی غالبؔ کے مقلد ہیں فرازؔ ,جس پہ مرتے ہیں اسے مار کے رکھ دیتے ہیں ,Ahmad Faraz
ترے بدن میں دھڑکنے لگا ہوں دل کی طرح ,یہ اور بات کہ اب بھی تجھے سنائی نہ دوں ,Ahmad Faraz
خود اپنے آپ کو پرکھا تو یہ ندامت ہے ,کہ اب کبھی اسے الزام بے وفائی نہ دوں ,Ahmad Faraz
مری بقا ہی مری خواہش گناہ میں ہے ,میں زندگی کو کبھی زہر پارسائی نہ دوں ,Ahmad Faraz
جو ٹھن گئی ہے تو یاری پہ حرف کیوں آئے ,حریف جاں کو کبھی طعن آشنائی نہ دوں ,Ahmad Faraz
مجھے بھی ڈھونڈ کبھی محو آئنہ داری ,میں تیرا عکس ہوں لیکن تجھے دکھائی نہ دوں ,Ahmad Faraz
یہ حوصلہ بھی بڑی بات ہے شکست کے بعد ,کہ دوسروں کو تو الزام نارسائی نہ دوں ,Ahmad Faraz
فرازؔ دولت دل ہے متاع محرومی ,میں جام جم کے عوض کاسۂ گدائی نہ دوں ,Ahmad Faraz
تنہائی میں روتے ہیں کہ یوں دل کو سکوں ہو ,یہ چوٹ کسی صاحب محفل سے لگی تھی ,Ahmad Faraz
اے دل ترے آشوب نے پھر حشر جگایا ,بے درد ابھی آنکھ بھی مشکل سے لگی تھی ,Ahmad Faraz
خلقت کا عجب حال تھا اس کوئے ستم میں ,سائے کی طرح دامن قاتل سے لگی تھی ,Ahmad Faraz
اترا بھی تو کب درد کا چڑھتا ہوا دریا ,جب کشتیٔ جاں موت کے ساحل سے لگی تھی ,Ahmad Faraz
عشق ہے نام انتہاؤں کا ,اس سمندر میں اعتدال کہاں ,Ahmad Faraz
ایسا نشہ تو زہر میں بھی نہ تھا ,اے غم دل تری مثال کہاں ,Ahmad Faraz
ہم کو بھی اپنی پائمالی کا ,ہے مگر اس قدر ملال کہاں ,Ahmad Faraz
میں نئی دوستی کے موڑ پہ تھا ,آ گیا ہے ترا خیال کہاں ,Ahmad Faraz
دل کہ خوش فہم تھا سو ہے ورنہ ,تیرے ملنے کا احتمال کہاں ,Ahmad Faraz
وصل و ہجراں ہیں اور دنیائیں ,ان زمانوں میں ماہ و سال کہاں ,Ahmad Faraz
تجھ کو دیکھا تو لوگ حیراں ہیں ,آ گیا شہر میں غزال کہاں ,Ahmad Faraz
تجھ پہ لکھی تو سج گئی ہے غزل ,آ ملا خواب سے خیال کہاں ,Ahmad Faraz
اب تو شہہ مات ہو رہی ہے فرازؔ ,اب بچاؤ کی کوئی چال کہاں ,Ahmad Faraz
ابھی ابھی وہ ملا تھا ہزار باتیں کیں ,ابھی ابھی وہ گیا ہے مگر زمانہ ہوا ,Ahmad Faraz
وہ رات بھول چکو وہ سخن نہ دہراؤ ,وہ رات خواب ہوئی وہ سخن فسانہ ہوا ,Ahmad Faraz
کچھ اب کے ایسے کڑے تھے فراق کے موسم ,تری ہی بات نہیں میں بھی کیا سے کیا نہ ہوا ,Ahmad Faraz
ہجوم ایسا کہ راہیں نظر نہیں آتیں ,نصیب ایسا کہ اب تک تو قافلہ نہ ہوا ,Ahmad Faraz
شہید شب فقط احمد فرازؔ ہی تو نہیں ,کہ جو چراغ بکف تھا وہی نشانہ ہوا ,Ahmad Faraz
نہیں ایسا بھی کہ اک عمر کی قربت کے نشے ,ایک دو روز کی رنجش سے ٹھکانے لگ جائیں ,Ahmad Faraz
یہی ناصح جو ہمیں تجھ سے نہ ملنے کو کہیں ,تجھ کو دیکھیں تو تجھے دیکھنے آنے لگ جائیں ,Ahmad Faraz
ہم کہ ہیں لذت آزار کے مارے ہوئے لوگ ,چارہ گر آئیں تو زخموں کو چھپانے لگ جائیں ,Ahmad Faraz
ربط کے سینکڑوں حیلے ہیں محبت نہ سہی ,ہم ترے ساتھ کسی اور بہانے لگ جائیں ,Ahmad Faraz
ساقیا مسجد و مکتب تو نہیں مے خانہ ,دیکھنا پھر بھی غلط لوگ نہ آنے لگ جائیں ,Ahmad Faraz
قرب اچھا ہے مگر اتنی بھی شدت سے نہ مل ,یہ نہ ہو تجھ کو مرے روگ پرانے لگ جائیں ,Ahmad Faraz
اب فرازؔ آؤ چلیں اپنے قبیلے کی طرف ,شاعری ترک کریں بوجھ اٹھانے لگ جائیں ,Ahmad Faraz
بات بن آئی ہے پھر سے کہ مرے بارے میں ,اس نے پوچھیں مرے غم خوار سے باتیں کیا کیا ,Ahmad Faraz
لوگ لب بستہ اگر ہوں تو نکل آتی ہیں ,چپ کے پیرایۂ اظہار سے باتیں کیا کیا ,Ahmad Faraz
کسی سودائی کا قصہ کسی ہرجائی کی بات ,لوگ لے آتے ہیں بازار سے باتیں کیا کیا ,Ahmad Faraz
ہم نے بھی دست شناسی کے بہانے کی ہیں ,ہاتھ میں ہاتھ لیے پیار سے باتیں کیا کیا ,Ahmad Faraz
کس کو بکنا تھا مگر خوش ہیں کہ اس حیلے سے ,ہو گئیں اپنے خریدار سے باتیں کیا کیا ,Ahmad Faraz
ہم ہیں خاموش کہ مجبور محبت تھے فرازؔ ,ورنہ منسوب ہیں سرکار سے باتیں کیا کیا ,Ahmad Faraz
کیا کریں عرض تمنا کہ تجھے دیکھتے ہی ,لفظ پیرایۂ اظہار میں گم ہو جائیں ,Ahmad Faraz
یہ نہ ہو تم بھی کسی بھیڑ میں کھو جاؤ کہیں ,یہ نہ ہو ہم کسی بازار میں گم ہو جائیں ,Ahmad Faraz
کس طرح تجھ سے کہیں کتنا بھلا لگتا ہے ,تجھ کو دیکھیں ترے دیدار میں گم ہو جائیں ,Ahmad Faraz
ہم ترے شوق میں یوں خود کو گنوا بیٹھے ہیں ,جیسے بچے کسی تیوہار میں گم ہو جائیں ,Ahmad Faraz
پیچ اتنے بھی نہ دو کرمک ریشم کی طرح ,دیکھنا سر ہی نہ دستار میں گم ہو جائیں ,Ahmad Faraz
ایسا آشوب زمانہ ہے کہ ڈر لگتا ہے ,دل کے مضموں ہی نہ اشعار میں گم ہو جائیں ,Ahmad Faraz
شہریاروں کے بلاوے بہت آتے ہیں فرازؔ ,یہ نہ ہو آپ بھی دربار میں گم ہو جائیں ,Ahmad Faraz
دل سے کل محو تکلم تھے تو معلوم ہوا ,کوئی کاکل کوئی لب کوئی دہن یاد نہیں ,Ahmad Faraz
عقل کے شہر میں آیا ہے تو یوں گم ہے جنوں ,لب گویا کو بھی بے ساختہ پن یاد نہیں ,Ahmad Faraz
اول اول تو نہ تھے واقف آداب قفس ,اور اب رسم و رہ اہل چمن یاد نہیں ,Ahmad Faraz
ہر کوئی ناوک و ترکش کی دکاں پوچھتا ہے ,کسی گاہک کو مگر اپنا بدن یاد نہیں ,Ahmad Faraz
وقت کس دشت فراموشی میں لے آیا ہے ,اب ترا نام بھی خاکم بدہن یاد نہیں ,Ahmad Faraz
یہ بھی کیا کم ہے غریب الوطنی میں کہ فرازؔ ,ہم کو بے مہرئ ارباب وطن یاد نہیں ,Ahmad Faraz
تلخیٔ کام و دہن کب سے عذاب جاں ہے ,اب تو یہ زہر رگ و پے میں اتر بھی جائے ,Ahmad Faraz
اب کے جس دشت تمنا میں قدم رکھا ہے ,دل تو کیا چیز ہے امکاں ہے کہ سر بھی جائے ,Ahmad Faraz
ہم بگولوں کی طرح خاک بسر پھرتے ہیں ,پاؤں شل ہوں تو یہ آشوب سفر بھی جائے ,Ahmad Faraz
لٹ چکے عشق میں اک بار تو پھر عشق کرو ,کس کو معلوم کہ تقدیر سنور بھی جائے ,Ahmad Faraz
شہر جاناں سے پرے بھی کئی دنیائیں ہیں ,ہے کوئی ایسا مسافر جو ادھر بھی جائے ,Ahmad Faraz
اس قدر قرب کے بعد ایسے جدا ہو جانا ,کوئی کم حوصلہ انساں ہو تو مر بھی جائے ,Ahmad Faraz
ایک مدت سے مقدر ہے غریب الوطنی ,کوئی پردیس میں نا خوش ہو تو گھر بھی جائے ,Ahmad Faraz
میرے جھوٹ کو تولو بھی اور کھولو بھی تم ,لیکن اپنے سچ کو بھی میزان میں رکھنا ,Ahmad Faraz
کل تاریخ یقیناً خود کو دہرائے گی ,آج کے اک اک منظر کو پہچان میں رکھنا ,Ahmad Faraz
بزم میں یاروں کی شمشیر کے جوہر دیکھو ,رزم میں لیکن تلواروں کو میان میں رکھنا ,Ahmad Faraz
اس دریا سے آگے ایک سمندر بھی ہے ,اور وہ بے ساحل ہے یہ بھی دھیان میں رکھنا ,Ahmad Faraz
اس موسم میں گل دانوں کی رسم کہاں ہے ,لوگو اب پھولوں کی آتش دان میں رکھنا ,Ahmad Faraz
وہ اپنے زعم میں تھا بے خبر رہا مجھ سے ,اسے گماں بھی نہیں میں نہیں رہا اس کا ,Ahmad Faraz
وہ برق رو تھا مگر وہ گیا کہاں جانے ,اب انتظار کریں گے شکستہ پا اس کا ,Ahmad Faraz
چلو یہ سیل بلا خیز ہی بنے اپنا ,سفینہ اس کا خدا اس کا ناخدا اس کا ,Ahmad Faraz
یہ اہل درد بھی کس کی دہائی دیتے ہیں ,وہ چپ بھی ہو تو زمانہ ہے ہم نوا اس کا ,Ahmad Faraz
ہمیں نے ترک تعلق میں پہل کی کہ فرازؔ ,وہ چاہتا تھا مگر حوصلہ نہ تھا اس کا ,Ahmad Faraz
جدائیاں ہوں تو ایسی کہ عمر بھر نہ ملیں ,فریب دو تو ذرا سلسلے بڑھا کے مجھے ,Ahmad Faraz
نشے سے کم تو نہیں یاد یار کا عالم ,کہ لے اڑا ہے کوئی دوش پر ہوا کے مجھے ,Ahmad Faraz
میں خود کو بھول چکا تھا مگر جہاں والے ,اداس چھوڑ گئے آئینہ دکھا کے مجھے ,Ahmad Faraz
تمہارے بام سے اب کم نہیں ہے رفعت دار ,جو دیکھنا ہو تو دیکھو نظر اٹھا کے مجھے ,Ahmad Faraz
کھنچی ہوئی ہے مرے آنسوؤں میں اک تصویر ,فرازؔ دیکھ رہا ہے وہ مسکرا کے مجھے ,Ahmad Faraz
اب دل کی تمنا ہے تو اے کاش یہی ہو ,آنسو کی جگہ آنکھ سے حسرت نکل آئے ,Ahmad Faraz
